Entity,Day,total_vaccinations
Bureau of Prisons,3/7/21,72174
Bureau of Prisons,3/8/21,72174
Bureau of Prisons,3/9/21,72539
Bureau of Prisons,3/10/21,73254
Bureau of Prisons,3/11/21,76224
Bureau of Prisons,3/12/21,78795
Bureau of Prisons,3/13/21,80683
Bureau of Prisons,3/14/21,80683
Bureau of Prisons,3/15/21,80683
Bureau of Prisons,3/16/21,81035
Bureau of Prisons,3/17/21,81950
Bureau of Prisons,3/18/21,84200
Bureau of Prisons,3/19/21,86342
Bureau of Prisons,3/20/21,88006
Bureau of Prisons,3/21/21,88862
Bureau of Prisons,3/22/21,89052
Bureau of Prisons,3/23/21,89232
Bureau of Prisons,3/24/21,90341
Bureau of Prisons,3/25/21,95200
Bureau of Prisons,3/26/21,98916
Bureau of Prisons,3/27/21,101156
Bureau of Prisons,3/28/21,101784
Bureau of Prisons,3/29/21,101786
Bureau of Prisons,3/30/21,101891
Bureau of Prisons,3/31/21,102091
Bureau of Prisons,4/1/21,107497
Bureau of Prisons,4/2/21,110979
Bureau of Prisons,4/3/21,111766
Bureau of Prisons,4/4/21,112202
Bureau of Prisons,4/5/21,112202
Bureau of Prisons,4/6/21,112317
Bureau of Prisons,4/7/21,113400
Bureau of Prisons,4/8/21,119665
Bureau of Prisons,4/9/21,123092
Bureau of Prisons,4/10/21,125929
California,1/12/21,816301
California,1/13/21,891489
California,1/14/21,975293
California,1/15/21,1072959
California,1/19/21,1460430
California,1/20/21,1532329
California,1/21/21,1633875
California,1/22/21,1803679
California,1/23/21,2008220
California,1/24/21,2199908
California,1/25/21,2330633
California,1/26/21,2446577
California,1/27/21,2579666
California,1/28/21,2746876
California,1/29/21,2910562
California,1/30/21,3095781
California,1/31/21,3285351
California,2/1/21,3453284
California,2/2/21,3543817
California,2/3/21,3671316
California,2/4/21,3723803
California,2/5/21,3920632
California,2/6/21,4137600
California,2/7/21,4485166
California,2/8/21,4682862
California,2/9/21,4784478
California,2/10/21,4957297
California,2/11/21,5134864
California,2/12/21,5341104
California,2/13/21,5562553
California,2/14/21,5820388
California,2/16/21,6210992
California,2/17/21,6323011
California,2/18/21,6496140
California,2/19/21,6964603
California,2/20/21,7201713
California,2/21/21,7453468
California,2/22/21,7604725
California,2/23/21,7728120
California,2/24/21,7876011
California,2/25/21,8064121
California,2/26/21,8310945
California,2/27/21,8566470
California,2/28/21,8821044
California,3/1/21,9106077
California,3/2/21,9497125
California,3/3/21,9731169
California,3/4/21,9860209
California,3/5/21,10071476
California,3/6/21,10415023
California,3/7/21,10634752
California,3/8/21,10805474
California,3/9/21,10925581
California,3/10/21,11062505
California,3/11/21,11220508
California,3/12/21,11428034
California,3/13/21,11881857
California,3/14/21,11883375
California,3/15/21,12306608
California,3/16/21,12686451
California,3/17/21,13161027
California,3/18/21,13563094
California,3/19/21,13882984
California,3/20/21,14276125
California,3/21/21,14708175
California,3/22/21,15050673
California,3/23/21,15349039
California,3/24/21,15691888
California,3/25/21,16062266
California,3/26/21,16527440
California,3/27/21,16944916
California,3/28/21,17335016
California,3/29/21,17703550
California,3/30/21,17922091
California,3/31/21,18223412
California,4/1/21,18604164
California,4/2/21,18985902
California,4/3/21,19449615
California,4/4/21,19962420
California,4/5/21,20309146
California,4/6/21,20485651
California,4/7/21,20865892
California,4/8/21,21243518
California,4/9/21,21725654
California,4/10/21,22281619
Colorado,1/12/21,224428
Colorado,1/13/21,239665
Colorado,1/14/21,254706
Colorado,1/15/21,272233
Colorado,1/19/21,330292
Colorado,1/20/21,340438
Colorado,1/21/21,353194
Colorado,1/22/21,377283
Colorado,1/23/21,377283
Colorado,1/24/21,434496
Colorado,1/25/21,447880
Colorado,1/26/21,457746
Colorado,1/27/21,474527
Colorado,1/28/21,495706
Colorado,1/29/21,521879
Colorado,1/30/21,545356
Colorado,1/31/21,569234
Colorado,2/1/21,589787
Colorado,2/2/21,601347
Colorado,2/3/21,617125
Colorado,2/4/21,638923
Colorado,2/5/21,661703
Colorado,2/6/21,694860
Colorado,2/7/21,729895
Colorado,2/8/21,751960
Colorado,2/9/21,757560
Colorado,2/10/21,787041
Colorado,2/11/21,815108
Colorado,2/12/21,844620
Colorado,2/13/21,885581
Colorado,2/14/21,926807
Colorado,2/16/21,1000597
Colorado,2/17/21,1024167
Colorado,2/18/21,1053041
Colorado,2/19/21,1132448
Colorado,2/20/21,1167895
Colorado,2/21/21,1202161
Colorado,2/22/21,1231699
Colorado,2/23/21,1233466
Colorado,2/24/21,1268302
Colorado,2/25/21,1294236
Colorado,2/26/21,1323183
Colorado,2/27/21,1324715
Colorado,2/28/21,1371577
Colorado,3/1/21,1412910
Colorado,3/2/21,1428854
Colorado,3/3/21,1462053
Colorado,3/4/21,1494910
Colorado,3/5/21,1528864
Colorado,3/6/21,1580162
Colorado,3/7/21,1626499
Colorado,3/8/21,1627458
Colorado,3/9/21,1650716
Colorado,3/10/21,1694476
Colorado,3/11/21,1764066
Colorado,3/12/21,1817050
Colorado,3/13/21,1878538
Colorado,3/14/21,1878639
Colorado,3/15/21,1933717
Colorado,3/16/21,1948333
Colorado,3/17/21,1987533
Colorado,3/18/21,2029213
Colorado,3/19/21,2080284
Colorado,3/20/21,2188145
Colorado,3/21/21,2250372
Colorado,3/22/21,2276660
Colorado,3/23/21,2310425
Colorado,3/24/21,2344091
Colorado,3/25/21,2388899
Colorado,3/26/21,2443350
Colorado,3/27/21,2500874
Colorado,3/28/21,2569087
Colorado,3/29/21,2602792
Colorado,3/30/21,2645306
Colorado,3/31/21,2691248
Colorado,4/1/21,2746030
Colorado,4/2/21,2803981
Colorado,4/3/21,2878136
Colorado,4/4/21,2954206
Colorado,4/5/21,2979697
Colorado,4/6/21,3017904
Colorado,4/7/21,3079255
Colorado,4/8/21,3129702
Colorado,4/9/21,3184749
Colorado,4/10/21,3266193
Connecticut,1/12/21,151395
Connecticut,1/13/21,161875
Connecticut,1/14/21,171897
Connecticut,1/15/21,185866
Connecticut,1/19/21,229524
Connecticut,1/20/21,243140
Connecticut,1/21/21,264707
Connecticut,1/22/21,287440
Connecticut,1/23/21,306796
Connecticut,1/24/21,321737
Connecticut,1/25/21,331264
Connecticut,1/26/21,342643
Connecticut,1/27/21,360991
Connecticut,1/28/21,381160
Connecticut,1/29/21,403370
Connecticut,1/30/21,421191
Connecticut,1/31/21,436842
Connecticut,2/1/21,449253
Connecticut,2/2/21,456090
Connecticut,2/3/21,465008
Connecticut,2/4/21,481826
Connecticut,2/5/21,502347
Connecticut,2/6/21,519400
Connecticut,2/7/21,533941
Connecticut,2/8/21,542414
Connecticut,2/9/21,554322
Connecticut,2/10/21,574750
Connecticut,2/11/21,600249
Connecticut,2/12/21,626678
Connecticut,2/13/21,654766
Connecticut,2/14/21,674704
Connecticut,2/16/21,711142
Connecticut,2/17/21,738191
Connecticut,2/18/21,767183
Connecticut,2/19/21,822615
Connecticut,2/20/21,847820
Connecticut,2/21/21,860534
Connecticut,2/22/21,882777
Connecticut,2/23/21,892882
Connecticut,2/24/21,912033
Connecticut,2/25/21,925946
Connecticut,2/26/21,954153
Connecticut,2/27/21,980211
Connecticut,2/28/21,1004467
Connecticut,3/1/21,1031305
Connecticut,3/2/21,1040154
Connecticut,3/3/21,1061375
Connecticut,3/4/21,1087313
Connecticut,3/5/21,1121517
Connecticut,3/6/21,1157114
Connecticut,3/7/21,1195617
